[2024-07-17T09:14:41.444Z] - GET http://localhost:8000/api || STATUS CODE: 200 || RESPONSE TIME: 5ms
[2024-07-17T09:14:46.747Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 200 || RESPONSE TIME: 53ms
[2024-07-17T09:14:46.790Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T09:14:46.820Z] - GET http://localhost:8000/api/users || STATUS CODE: 304 || RESPONSE TIME: 4ms
[2024-07-17T09:14:46.832Z] - GET http://localhost:8000/assets/anthoyn.jpg || STATUS CODE: 304 || RESPONSE TIME: 1ms
[2024-07-17T09:14:46.833Z] - GET http://localhost:8000/assets/AFAC%20(square).jpeg.png || STATUS CODE: 304 || RESPONSE TIME: 1ms
[2024-07-17T09:14:48.316Z] - GET http://localhost:8000/api/discussions || STATUS CODE: 304 || RESPONSE TIME: 2ms
[2024-07-17T09:16:46.348Z] - POST http://localhost:8000/api/auth/logout || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T09:16:51.090Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 200 || RESPONSE TIME: 51ms
[2024-07-17T09:16:51.117Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T09:16:53.285Z] - GET http://localhost:8000/api/discussions || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T09:17:06.554Z] - POST http://localhost:8000/api/auth/logout || STATUS CODE: 200 || RESPONSE TIME: 0ms
[2024-07-17T09:17:08.074Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 200 || RESPONSE TIME: 52ms
[2024-07-17T09:17:08.108Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T09:21:50.667Z] - GET http://localhost:8000/api/discussions || STATUS CODE: 304 || RESPONSE TIME: 1ms
[2024-07-17T09:21:51.229Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T09:21:51.234Z] - GET http://localhost:8000/api/users || STATUS CODE: 200 || RESPONSE TIME: 3ms
[2024-07-17T09:21:52.675Z] - POST http://localhost:8000/api/auth/logout || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T09:22:08.783Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 200 || RESPONSE TIME: 52ms
[2024-07-17T09:22:08.814Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T09:33:00.401Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 401 || RESPONSE TIME: 6ms
[2024-07-17T09:33:02.133Z] - POST http://localhost:8000/api/auth/login || STATUS CODE: 200 || RESPONSE TIME: 52ms
[2024-07-17T09:33:02.163Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 1ms
[2024-07-17T09:33:02.189Z] - GET http://localhost:8000/api/users || STATUS CODE: 304 || RESPONSE TIME: 4ms
[2024-07-17T09:33:02.197Z] - GET http://localhost:8000/assets/anthoyn.jpg || STATUS CODE: 304 || RESPONSE TIME: 2ms
[2024-07-17T09:33:02.199Z] - GET http://localhost:8000/assets/AFAC%20(square).jpeg.png || STATUS CODE: 304 || RESPONSE TIME: 1ms
[2024-07-17T09:33:32.013Z] - POST http://localhost:8000/api/auth/checkAuth || STATUS CODE: 200 || RESPONSE TIME: 1ms
